nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
How to Learn Online,124980,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,49,4,edx,6124020
Programming for Everybody (Getting Started with Python),293864,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,49,14,edx,14399336
CS50's Introduction to Computer Science,2442271,Self-paced on your time,Harvard University,Introductory,Computer Science,English,90,72,edx,219804390
The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,English,199,130,edx,25781445
Marketing Analytics: Marketing Measurement Strategy,81140,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,249,20,edx,20203860
Introduction to Project Management,301793,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,199,12,edx,60056807
Leading High-Performing Teams,32847,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,5,80,edx,164235
The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,199,8,edx,13347527
"Managing Study, Stress and Mental Health at University",23061,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,49,2,edx,1129989
Six Sigma: Define and Measure,92411,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,99,24,edx,9148689
Fat Chance: Probability from the Ground Up,66835,Self-paced on your time,Harvard University,Introductory,Math,English,49,21,edx,3274915
Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Self-paced on your time,National Research Nuclear University,Introductory,Communication,English,49,10,edx,2190839
Bitcoin and Cryptocurrencies,83398,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,99,18,edx,8256402
English Grammar and Style,0,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,99,24,edx,0
Ethics in Action,6366,Self-paced on your time,SDG Academy,Intermediate,Ethics,English,49,20,edx,311934
Introduction to FinTech,72767,Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,199,6,edx,14480633
Data Science: R Basics,528782,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,49,8,edx,25910318
Python Basics for Data Science,228809,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,10,edx,8923551
The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,English,49,12,edx,1915165
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Advanced,Business & Management,English,399,24,edx,41352360
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,Introductory,Computer Science,English,199,70,edx,51343194
CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,149,72,edx,51665452
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,16,edx,31702275
CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,90,72,edx,62905500
Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,Intermediate,Business & Management,English,125,24,edx,51772625
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,99,15,edx,37636533
Justice,392588,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,36,edx,38866212
Data Science: Machine Learning,276209,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,49,16,edx,13534241
Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,99,32,edx,21032847
IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,Introductory,Communication,English,99,40,edx,109273923
The Architectural Imagination,406181,Self-paced on your time,Harvard University,Introductory,Architecture,English,99,30,edx,40211919
TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,Introductory,Communication,English,49,12,edx,50101961
Principles of Biochemistry,257600,Self-paced on your time,Harvard University,Intermediate,Medicine,English,199,60,edx,51262400
Using Python for Research,262183,Self-paced on your time,Harvard University,Intermediate,Computer Science,English,99,24,edx,25956117
Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,20,edx,13937418
Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Communication,English,40,28,edx,16006760
The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,Introductory,Environmental Studies,English,99,21,edx,10892376
Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,Introductory,Business & Management,Español,49,20,edx,3903879
Statistics and R,314586,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,249,8,edx,78331914
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Self-paced on your time,Harvard University,Introductory,Chemistry,English,199,32,edx,28857189
Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Self-paced on your time,Harvard University,Introductory,Art & Culture,English,99,16,edx,12263130
"PredictionX: Omens, Oracles & Prophecies",91566,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,25,3,edx,2289150
Excel: Fundamentos y herramientas,284279,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,50,24,edx,14213950
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,49,12,edx,4507167
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,Intermediate,Social Sciences,English,99,20,edx,12607947
CS50 for Lawyers,87336,Self-paced on your time,Harvard University,Introductory,Computer Science,English,99,30,edx,8646264
Data Science: Visualization,171258,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,49,8,edx,8391642
Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,20,edx,12380049
The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Introductory,Social Sciences,English,169,44,edx,80378766
Leaders of Learning,231131,Self-paced on your time,Harvard University,Introductory,Communication,English,99,20,edx,22881969
Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,Introductory,Business & Management,English,99,8,edx,5723586
Data Science: Probability,135859,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,49,8,edx,6657091
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,Intermediate,Education & Teacher Training,English,70,10,edx,8218700
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,Introductory,Medicine,English,99,16,edx,7928118
