nombre,precio,ventas_q,clases_q,nivel,duracion,tema,plataforma,anio,mes,ventas_usd,idioma
Ultimate Investment Banking Course,200,2147,51,All Levels,1,Business Finance,udemy,2017,Enero,429400,English
Complete GST Course & Certification - Grow Your CA Practice,75,2792,274,All Levels,39,Business Finance,udemy,2017,Marzo,209400,English
Financial Modeling for Business Analysts and Consultants,45,2174,51,Intermediate,2,Business Finance,udemy,2016,Diciembre,97830,English
Beginner to Pro - Financial Analysis in Excel 2017,95,2451,36,All Levels,3,Business Finance,udemy,2017,Mayo,232845,English
How To Maximize Your Profits Trading Options,200,1276,26,Intermediate,2,Business Finance,udemy,2016,Diciembre,255200,English
Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,25,All Levels,3,Business Finance,udemy,2014,Mayo,1383150,English
Investing And Trading For Beginners: Mastering Price Charts,65,1540,26,Introductory,1,Business Finance,udemy,2016,Febrero,100100,English
"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,23,All Levels,2,Business Finance,udemy,2015,Enero,277115,English
Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,38,Advanced,2,Business Finance,udemy,2015,Mayo,1008540,English
The Only Investment Strategy You Need For Your Retirement,200,827,15,All Levels,1,Business Finance,udemy,2017,Abril,165400,English
Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,76,All Levels,5,Business Finance,udemy,2015,Septiembre,856800,English
Trading Options With Money Flow,200,1380,17,All Levels,1,Business Finance,udemy,2016,Octubre,276000,English
Financial Management Risk and Return For Securities,30,3607,19,All Levels,1,Business Finance,udemy,2016,Febrero,108210,English
Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,16,All Levels,2,Business Finance,udemy,2016,Marzo,791895,English
Python Algo Trading: Sentiment Trading with News,200,294,42,All Levels,7,Business Finance,udemy,2017,Abril,58800,English
Short Selling: Learn To Sell Stocks Before The Fall,75,2276,19,Intermediate,1,Business Finance,udemy,2015,Junio,170700,English
Basic Technical Analysis: Learn the structure of the market,20,4919,16,Introductory,1,Business Finance,udemy,2016,Enero,98380,English
The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,52,All Levels,4,Business Finance,udemy,2015,Agosto,533200,English
7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,23,All Levels,1,Business Finance,udemy,2015,Septiembre,267700,English
Financial Statements Made Easy,95,8095,12,Introductory,0,Business Finance,udemy,2013,Junio,769025,English
Winning Forex Trading with Live Forex Trading Examples,200,809,25,All Levels,2,Business Finance,udemy,2017,Junio,161800,English
Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,39,All Levels,4,Business Finance,udemy,2016,Mayo,459000,English
Create A Business From Home Trading Stocks Today In 2017,75,10149,16,All Levels,2,Business Finance,udemy,2015,Mayo,761175,English
Introduction to Accounting : Mastering Financial Statements,50,1916,23,Introductory,1,Business Finance,udemy,2016,Diciembre,95800,English
The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,40,All Levels,2,Business Finance,udemy,2016,Mayo,112815,English
Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,50,All Levels,5,Business Finance,udemy,2015,Enero,867900,English
Investing 101: The Complete Online Investing Course,200,5334,42,All Levels,4,Business Finance,udemy,2014,Noviembre,1066800,English
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,25,Intermediate,2,Business Finance,udemy,2015,Abril,700875,English
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,81,All Levels,4,Business Finance,udemy,2016,Abril,431550,English
Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,37,Introductory,3,Business Finance,udemy,2017,Junio,143640,English
Python Algo Stock Trading: Automate Your Trading!,95,1165,41,Introductory,2,Business Finance,udemy,2017,Mayo,110675,English
THE Forex Robot: Incredible ROI (Robot Included),200,1843,35,All Levels,1,Business Finance,udemy,2016,Octubre,368600,English
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,80,All Levels,6,Business Finance,udemy,2015,Enero,395865,English
Mastering High Probability Iron Condor Options Trading,200,1030,22,All Levels,2,Business Finance,udemy,2017,Junio,206000,English
The Complete Short Course on Ethereum,200,1041,28,All Levels,1,Business Finance,udemy,2017,Junio,208200,English
Options Trading Stocks: Proven Toolbox For Financial Success,195,7884,68,Intermediate,10,Business Finance,udemy,2015,Mayo,1537380,English
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,16900,52,Introductory,5,Business Finance,udemy,2014,Diciembre,3295500,English
"Introduction to Finance, Accounting, Modeling and Valuation",200,11441,61,All Levels,4,Business Finance,udemy,2016,Junio,2288200,English
Beginner to Pro in Excel: Financial Modeling and Valuation,195,22257,138,All Levels,7,Business Finance,udemy,2014,Noviembre,4340115,English
The Complete Investment Banking Course 2017,195,8575,110,All Levels,5,Business Finance,udemy,2016,Octubre,1672125,English
